forecast_horizon,step_index,forecast_timestamp,power_kw
2h,1,2023-03-31 22:45:00,0.0
2h,2,2023-03-31 23:00:00,0.0
2h,3,2023-03-31 23:15:00,0.0
2h,4,2023-03-31 23:30:00,0.0
2h,5,2023-03-31 23:45:00,0.0
2h,6,2023-04-01 00:00:00,132.0031
2h,7,2023-04-01 00:15:00,135.7193
2h,8,2023-04-01 00:30:00,181.1483
4h,1,2023-03-31 22:45:00,0.0
4h,2,2023-03-31 23:00:00,0.0
4h,3,2023-03-31 23:15:00,0.0
4h,4,2023-03-31 23:30:00,0.0
4h,5,2023-03-31 23:45:00,0.0
4h,6,2023-04-01 00:00:00,132.0031
4h,7,2023-04-01 00:15:00,135.7193
4h,8,2023-04-01 00:30:00,181.1483
4h,9,2023-04-01 00:45:00,185.312
4h,10,2023-04-01 01:00:00,158.2987
4h,11,2023-04-01 01:15:00,202.5052
4h,12,2023-04-01 01:30:00,194.8047
4h,13,2023-04-01 01:45:00,150.4433
4h,14,2023-04-01 02:00:00,132.194
4h,15,2023-04-01 02:15:00,113.7018
4h,16,2023-04-01 02:30:00,32.0347
1d,1,2023-03-31 22:45:00,0.0
1d,2,2023-03-31 23:00:00,0.0
1d,3,2023-03-31 23:15:00,0.0
1d,4,2023-03-31 23:30:00,0.0
1d,5,2023-03-31 23:45:00,0.0
1d,6,2023-04-01 00:00:00,132.0031
1d,7,2023-04-01 00:15:00,135.7193
1d,8,2023-04-01 00:30:00,181.1483
1d,9,2023-04-01 00:45:00,185.312
1d,10,2023-04-01 01:00:00,158.2987
1d,11,2023-04-01 01:15:00,202.5052
1d,12,2023-04-01 01:30:00,194.8047
1d,13,2023-04-01 01:45:00,150.4433
1d,14,2023-04-01 02:00:00,132.194
1d,15,2023-04-01 02:15:00,113.7018
1d,16,2023-04-01 02:30:00,32.0347
1d,17,2023-04-01 02:45:00,22.2007
1d,18,2023-04-01 03:00:00,22.2293
1d,19,2023-04-01 03:15:00,22.2467
1d,20,2023-04-01 03:30:00,22.3033
1d,21,2023-04-01 03:45:00,22.4387
1d,22,2023-04-01 04:00:00,14.15
1d,23,2023-04-01 04:15:00,0.0
1d,24,2023-04-01 04:30:00,0.0
1d,25,2023-04-01 04:45:00,0.0
1d,26,2023-04-01 05:00:00,31.457
1d,27,2023-04-01 05:15:00,31.44
1d,28,2023-04-01 05:30:00,22.3067
1d,29,2023-04-01 05:45:00,34.9861
1d,30,2023-04-01 06:00:00,29.88
1d,31,2023-04-01 06:15:00,29.8647
1d,32,2023-04-01 06:30:00,25.776
1d,33,2023-04-01 06:45:00,13.4967
1d,34,2023-04-01 07:00:00,0.0
1d,35,2023-04-01 07:15:00,0.0
1d,36,2023-04-01 07:30:00,53.5267
1d,37,2023-04-01 07:45:00,110.1501
1d,38,2023-04-01 08:00:00,95.518
1d,39,2023-04-01 08:15:00,87.3867
1d,40,2023-04-01 08:30:00,68.6073
1d,41,2023-04-01 08:45:00,50.364
1d,42,2023-04-01 09:00:00,50.5457
1d,43,2023-04-01 09:15:00,0.0
1d,44,2023-04-01 09:30:00,0.0
1d,45,2023-04-01 09:45:00,0.0
1d,46,2023-04-01 10:00:00,30.0562
1d,47,2023-04-01 10:15:00,30.044
1d,48,2023-04-01 10:30:00,29.8213
1d,49,2023-04-01 10:45:00,51.2754
1d,50,2023-04-01 11:00:00,58.2189
1d,51,2023-04-01 11:15:00,16.2353
1d,52,2023-04-01 11:30:00,13.2247
1d,53,2023-04-01 11:45:00,120.3973
1d,54,2023-04-01 12:00:00,116.8317
1d,55,2023-04-01 12:15:00,101.1806
1d,56,2023-04-01 12:30:00,0.0
1d,57,2023-04-01 12:45:00,0.0
1d,58,2023-04-01 13:00:00,0.0
1d,59,2023-04-01 13:15:00,56.2967
1d,60,2023-04-01 13:30:00,43.6411
1d,61,2023-04-01 13:45:00,51.252
1d,62,2023-04-01 14:00:00,34.6015
1d,63,2023-04-01 14:15:00,0.0
1d,64,2023-04-01 14:30:00,50.9583
1d,65,2023-04-01 14:45:00,51.512
1d,66,2023-04-01 15:00:00,52.3767
1d,67,2023-04-01 15:15:00,22.7508
1d,68,2023-04-01 15:30:00,63.0667
1d,69,2023-04-01 15:45:00,78.1717
1d,70,2023-04-01 16:00:00,84.801
1d,71,2023-04-01 16:15:00,101.938
1d,72,2023-04-01 16:30:00,84.9037
1d,73,2023-04-01 16:45:00,73.234
1d,74,2023-04-01 17:00:00,112.7953
1d,75,2023-04-01 17:15:00,80.3925
1d,76,2023-04-01 17:30:00,57.323
1d,77,2023-04-01 17:45:00,158.8417
1d,78,2023-04-01 18:00:00,173.2735
1d,79,2023-04-01 18:15:00,164.9453
1d,80,2023-04-01 18:30:00,96.1096
1d,81,2023-04-01 18:45:00,88.701
1d,82,2023-04-01 19:00:00,78.5449
1d,83,2023-04-01 19:15:00,84.19
1d,84,2023-04-01 19:30:00,28.908
1d,85,2023-04-01 19:45:00,25.6323
1d,86,2023-04-01 20:00:00,26.78
1d,87,2023-04-01 20:15:00,54.44
1d,88,2023-04-01 20:30:00,53.5073
1d,89,2023-04-01 20:45:00,110.3045
1d,90,2023-04-01 21:00:00,102.6953
1d,91,2023-04-01 21:15:00,44.0758
1d,92,2023-04-01 21:30:00,48.97
1d,93,2023-04-01 21:45:00,47.0213
1d,94,2023-04-01 22:00:00,30.2933
1d,95,2023-04-01 22:15:00,12.5947
1d,96,2023-04-01 22:30:00,10.2362
4d,1,2023-03-31 22:45:00,0.0
4d,2,2023-03-31 23:00:00,0.0
4d,3,2023-03-31 23:15:00,0.0
4d,4,2023-03-31 23:30:00,0.0
4d,5,2023-03-31 23:45:00,0.0
4d,6,2023-04-01 00:00:00,132.0031
4d,7,2023-04-01 00:15:00,135.7193
4d,8,2023-04-01 00:30:00,181.1483
4d,9,2023-04-01 00:45:00,185.312
4d,10,2023-04-01 01:00:00,158.2987
4d,11,2023-04-01 01:15:00,202.5052
4d,12,2023-04-01 01:30:00,194.8047
4d,13,2023-04-01 01:45:00,150.4433
4d,14,2023-04-01 02:00:00,132.194
4d,15,2023-04-01 02:15:00,113.7018
4d,16,2023-04-01 02:30:00,32.0347
4d,17,2023-04-01 02:45:00,22.2007
4d,18,2023-04-01 03:00:00,22.2293
4d,19,2023-04-01 03:15:00,22.2467
4d,20,2023-04-01 03:30:00,22.3033
4d,21,2023-04-01 03:45:00,22.4387
4d,22,2023-04-01 04:00:00,14.15
4d,23,2023-04-01 04:15:00,0.0
4d,24,2023-04-01 04:30:00,0.0
4d,25,2023-04-01 04:45:00,0.0
4d,26,2023-04-01 05:00:00,31.457
4d,27,2023-04-01 05:15:00,31.44
4d,28,2023-04-01 05:30:00,22.3067
4d,29,2023-04-01 05:45:00,34.9861
4d,30,2023-04-01 06:00:00,29.88
4d,31,2023-04-01 06:15:00,29.8647
4d,32,2023-04-01 06:30:00,25.776
4d,33,2023-04-01 06:45:00,13.4967
4d,34,2023-04-01 07:00:00,0.0
4d,35,2023-04-01 07:15:00,0.0
4d,36,2023-04-01 07:30:00,53.5267
4d,37,2023-04-01 07:45:00,110.1501
4d,38,2023-04-01 08:00:00,95.518
4d,39,2023-04-01 08:15:00,87.3867
4d,40,2023-04-01 08:30:00,68.6073
4d,41,2023-04-01 08:45:00,50.364
4d,42,2023-04-01 09:00:00,50.5457
4d,43,2023-04-01 09:15:00,0.0
4d,44,2023-04-01 09:30:00,0.0
4d,45,2023-04-01 09:45:00,0.0
