forecast_horizon,step_index,forecast_timestamp,power_kw
2h,1,2023-02-24 00:00:00,40.4192
2h,2,2023-02-24 00:15:00,65.4367
2h,3,2023-02-24 00:30:00,66.754
2h,4,2023-02-24 00:45:00,66.9687
2h,5,2023-02-24 01:00:00,67.348
2h,6,2023-02-24 01:15:00,103.8744
2h,7,2023-02-24 01:30:00,61.8613
2h,8,2023-02-24 01:45:00,61.9453
4h,1,2023-02-24 00:00:00,40.4192
4h,2,2023-02-24 00:15:00,65.4367
4h,3,2023-02-24 00:30:00,66.754
4h,4,2023-02-24 00:45:00,66.9687
4h,5,2023-02-24 01:00:00,67.348
4h,6,2023-02-24 01:15:00,103.8744
4h,7,2023-02-24 01:30:00,61.8613
4h,8,2023-02-24 01:45:00,61.9453
4h,9,2023-02-24 02:00:00,87.4136
4h,10,2023-02-24 02:15:00,86.5959
4h,11,2023-02-24 02:30:00,51.2073
4h,12,2023-02-24 02:45:00,59.8127
4h,13,2023-02-24 03:00:00,61.3473
4h,14,2023-02-24 03:15:00,99.2305
4h,15,2023-02-24 03:30:00,87.372
4h,16,2023-02-24 03:45:00,87.6867
1d,1,2023-02-24 00:00:00,40.4192
1d,2,2023-02-24 00:15:00,65.4367
1d,3,2023-02-24 00:30:00,66.754
1d,4,2023-02-24 00:45:00,66.9687
1d,5,2023-02-24 01:00:00,67.348
1d,6,2023-02-24 01:15:00,103.8744
1d,7,2023-02-24 01:30:00,61.8613
1d,8,2023-02-24 01:45:00,61.9453
1d,9,2023-02-24 02:00:00,87.4136
1d,10,2023-02-24 02:15:00,86.5959
1d,11,2023-02-24 02:30:00,51.2073
1d,12,2023-02-24 02:45:00,59.8127
1d,13,2023-02-24 03:00:00,61.3473
1d,14,2023-02-24 03:15:00,99.2305
1d,15,2023-02-24 03:30:00,87.372
1d,16,2023-02-24 03:45:00,87.6867
1d,17,2023-02-24 04:00:00,79.8473
1d,18,2023-02-24 04:15:00,40.656
1d,19,2023-02-24 04:30:00,40.9213
1d,20,2023-02-24 04:45:00,27.2
1d,21,2023-02-24 05:00:00,0.0
1d,22,2023-02-24 05:15:00,0.0
1d,23,2023-02-24 05:30:00,0.0
1d,24,2023-02-24 05:45:00,0.0
1d,25,2023-02-24 06:00:00,0.0
1d,26,2023-02-24 06:15:00,57.89
1d,27,2023-02-24 06:30:00,67.882
1d,28,2023-02-24 06:45:00,38.706
1d,29,2023-02-24 07:00:00,25.8215
1d,30,2023-02-24 07:15:00,17.2937
1d,31,2023-02-24 07:30:00,85.1013
1d,32,2023-02-24 07:45:00,86.1625
1d,33,2023-02-24 08:00:00,57.1549
1d,34,2023-02-24 08:15:00,79.0899
1d,35,2023-02-24 08:30:00,60.428
