forecast_horizon,step_index,forecast_timestamp,power_kw
2h,1,2021-10-19 00:00:00,0.0
2h,2,2021-10-19 00:15:00,100.0646
2h,3,2021-10-19 00:30:00,153.1258
2h,4,2021-10-19 00:45:00,180.9963
2h,5,2021-10-19 01:00:00,196.7944
2h,6,2021-10-19 01:15:00,138.612
2h,7,2021-10-19 01:30:00,71.9973
2h,8,2021-10-19 01:45:00,26.3527
4h,1,2021-10-19 00:00:00,0.0
4h,2,2021-10-19 00:15:00,100.0646
4h,3,2021-10-19 00:30:00,153.1258
4h,4,2021-10-19 00:45:00,180.9963
4h,5,2021-10-19 01:00:00,196.7944
4h,6,2021-10-19 01:15:00,138.612
4h,7,2021-10-19 01:30:00,71.9973
4h,8,2021-10-19 01:45:00,26.3527
4h,9,2021-10-19 02:00:00,10.02
4h,10,2021-10-19 02:15:00,10.0267
4h,11,2021-10-19 02:30:00,32.6027
4h,12,2021-10-19 02:45:00,32.6653
4h,13,2021-10-19 03:00:00,32.8127
4h,14,2021-10-19 03:15:00,33.036
4h,15,2021-10-19 03:30:00,33.1433
4h,16,2021-10-19 03:45:00,67.1058
1d,1,2021-10-19 00:00:00,0.0
1d,2,2021-10-19 00:15:00,100.0646
1d,3,2021-10-19 00:30:00,153.1258
1d,4,2021-10-19 00:45:00,180.9963
1d,5,2021-10-19 01:00:00,196.7944
1d,6,2021-10-19 01:15:00,138.612
1d,7,2021-10-19 01:30:00,71.9973
1d,8,2021-10-19 01:45:00,26.3527
1d,9,2021-10-19 02:00:00,10.02
1d,10,2021-10-19 02:15:00,10.0267
1d,11,2021-10-19 02:30:00,32.6027
1d,12,2021-10-19 02:45:00,32.6653
1d,13,2021-10-19 03:00:00,32.8127
1d,14,2021-10-19 03:15:00,33.036
1d,15,2021-10-19 03:30:00,33.1433
1d,16,2021-10-19 03:45:00,67.1058
1d,17,2021-10-19 04:00:00,26.4367
1d,18,2021-10-19 04:15:00,56.3958
1d,19,2021-10-19 04:30:00,83.594
1d,20,2021-10-19 04:45:00,93.849
1d,21,2021-10-19 05:00:00,88.171
1d,22,2021-10-19 05:15:00,47.02
1d,23,2021-10-19 05:30:00,0.0
1d,24,2021-10-19 05:45:00,18.0433
1d,25,2021-10-19 06:00:00,0.0
1d,26,2021-10-19 06:15:00,0.0
1d,27,2021-10-19 06:30:00,0.0
1d,28,2021-10-19 06:45:00,27.1767
1d,29,2021-10-19 07:00:00,0.0
1d,30,2021-10-19 07:15:00,0.0
1d,31,2021-10-19 07:30:00,0.0
1d,32,2021-10-19 07:45:00,0.0
