forecast_horizon,step_index,forecast_timestamp,power_kw
2h,1,2021-09-12 00:00:00,0.0
2h,2,2021-09-12 00:15:00,7.73
2h,3,2021-09-12 00:30:00,56.1127
2h,4,2021-09-12 00:45:00,55.0867
2h,5,2021-09-12 01:00:00,55.1
2h,6,2021-09-12 01:15:00,34.264
2h,7,2021-09-12 01:30:00,13.6533
2h,8,2021-09-12 01:45:00,0.0
4h,1,2021-09-12 00:00:00,0.0
4h,2,2021-09-12 00:15:00,7.73
4h,3,2021-09-12 00:30:00,56.1127
4h,4,2021-09-12 00:45:00,55.0867
4h,5,2021-09-12 01:00:00,55.1
4h,6,2021-09-12 01:15:00,34.264
4h,7,2021-09-12 01:30:00,13.6533
4h,8,2021-09-12 01:45:00,0.0
4h,9,2021-09-12 02:00:00,0.0
4h,10,2021-09-12 02:15:00,0.0
4h,11,2021-09-12 02:30:00,39.16
4h,12,2021-09-12 02:45:00,39.632
4h,13,2021-09-12 03:00:00,40.3173
4h,14,2021-09-12 03:15:00,40.484
4h,15,2021-09-12 03:30:00,40.7053
4h,16,2021-09-12 03:45:00,40.9093
1d,1,2021-09-12 00:00:00,0.0
1d,2,2021-09-12 00:15:00,7.73
1d,3,2021-09-12 00:30:00,56.1127
1d,4,2021-09-12 00:45:00,55.0867
1d,5,2021-09-12 01:00:00,55.1
1d,6,2021-09-12 01:15:00,34.264
1d,7,2021-09-12 01:30:00,13.6533
1d,8,2021-09-12 01:45:00,0.0
1d,9,2021-09-12 02:00:00,0.0
1d,10,2021-09-12 02:15:00,0.0
1d,11,2021-09-12 02:30:00,39.16
1d,12,2021-09-12 02:45:00,39.632
1d,13,2021-09-12 03:00:00,40.3173
1d,14,2021-09-12 03:15:00,40.484
1d,15,2021-09-12 03:30:00,40.7053
1d,16,2021-09-12 03:45:00,40.9093
1d,17,2021-09-12 04:00:00,82.4027
1d,18,2021-09-12 04:15:00,77.276
1d,19,2021-09-12 04:30:00,51.5093
1d,20,2021-09-12 04:45:00,41.8333
1d,21,2021-09-12 05:00:00,42.199
1d,22,2021-09-12 05:15:00,0.0
1d,23,2021-09-12 05:30:00,0.0
1d,24,2021-09-12 05:45:00,40.2491
1d,25,2021-09-12 06:00:00,44.5767
1d,26,2021-09-12 06:15:00,42.3567
1d,27,2021-09-12 06:30:00,54.2413
1d,28,2021-09-12 06:45:00,88.563
1d,29,2021-09-12 07:00:00,93.7527
1d,30,2021-09-12 07:15:00,74.4447
1d,31,2021-09-12 07:30:00,73.092
1d,32,2021-09-12 07:45:00,0.0
1d,33,2021-09-12 08:00:00,0.0
1d,34,2021-09-12 08:15:00,0.0
1d,35,2021-09-12 08:30:00,0.0
1d,36,2021-09-12 08:45:00,0.0
1d,37,2021-09-12 09:00:00,0.0
1d,38,2021-09-12 09:15:00,0.0
1d,39,2021-09-12 09:30:00,0.0
1d,40,2021-09-12 09:45:00,40.2964
1d,41,2021-09-12 10:00:00,40.3993
1d,42,2021-09-12 10:15:00,72.5517
1d,43,2021-09-12 10:30:00,22.2013
1d,44,2021-09-12 10:45:00,41.4233
1d,45,2021-09-12 11:00:00,31.3947
1d,46,2021-09-12 11:15:00,31.6027
1d,47,2021-09-12 11:30:00,28.0793
1d,48,2021-09-12 11:45:00,22.645
1d,49,2021-09-12 12:00:00,19.8914
1d,50,2021-09-12 12:15:00,19.9233
1d,51,2021-09-12 12:30:00,9.5786
1d,52,2021-09-12 12:45:00,0.0
1d,53,2021-09-12 13:00:00,0.0
1d,54,2021-09-12 13:15:00,0.0
1d,55,2021-09-12 13:30:00,0.0
1d,56,2021-09-12 13:45:00,0.0
1d,57,2021-09-12 14:00:00,0.0
1d,58,2021-09-12 14:15:00,0.0
1d,59,2021-09-12 14:30:00,0.0
1d,60,2021-09-12 14:45:00,51.4746
1d,61,2021-09-12 15:00:00,54.7073
1d,62,2021-09-12 15:15:00,38.108
1d,63,2021-09-12 15:30:00,26.2914
1d,64,2021-09-12 15:45:00,0.0
1d,65,2021-09-12 16:00:00,0.0
1d,66,2021-09-12 16:15:00,0.0
1d,67,2021-09-12 16:30:00,0.0
1d,68,2021-09-12 16:45:00,0.0
1d,69,2021-09-12 17:00:00,40.365
1d,70,2021-09-12 17:15:00,40.7053
1d,71,2021-09-12 17:30:00,40.9207
1d,72,2021-09-12 17:45:00,41.1067
1d,73,2021-09-12 18:00:00,0.0
1d,74,2021-09-12 18:15:00,0.0
1d,75,2021-09-12 18:30:00,0.0
1d,76,2021-09-12 18:45:00,0.0
1d,77,2021-09-12 19:00:00,0.0
1d,78,2021-09-12 19:15:00,0.0
1d,79,2021-09-12 19:30:00,33.6825
1d,80,2021-09-12 19:45:00,83.357
1d,81,2021-09-12 20:00:00,132.5049
1d,82,2021-09-12 20:15:00,64.1933
1d,83,2021-09-12 20:30:00,22.55
1d,84,2021-09-12 20:45:00,8.9753
1d,85,2021-09-12 21:00:00,5.976
1d,86,2021-09-12 21:15:00,0.0
1d,87,2021-09-12 21:30:00,0.0
1d,88,2021-09-12 21:45:00,0.0
1d,89,2021-09-12 22:00:00,0.0
1d,90,2021-09-12 22:15:00,0.0
1d,91,2021-09-12 22:30:00,0.0
1d,92,2021-09-12 22:45:00,0.0
1d,93,2021-09-12 23:00:00,40.329
1d,94,2021-09-12 23:15:00,40.4547
1d,95,2021-09-12 23:30:00,40.8413
1d,96,2021-09-12 23:45:00,41.164
4d,1,2021-09-12 00:00:00,0.0
4d,2,2021-09-12 00:15:00,7.73
4d,3,2021-09-12 00:30:00,56.1127
4d,4,2021-09-12 00:45:00,55.0867
4d,5,2021-09-12 01:00:00,55.1
4d,6,2021-09-12 01:15:00,34.264
4d,7,2021-09-12 01:30:00,13.6533
4d,8,2021-09-12 01:45:00,0.0
4d,9,2021-09-12 02:00:00,0.0
4d,10,2021-09-12 02:15:00,0.0
4d,11,2021-09-12 02:30:00,39.16
4d,12,2021-09-12 02:45:00,39.632
4d,13,2021-09-12 03:00:00,40.3173
4d,14,2021-09-12 03:15:00,40.484
4d,15,2021-09-12 03:30:00,40.7053
4d,16,2021-09-12 03:45:00,40.9093
4d,17,2021-09-12 04:00:00,82.4027
4d,18,2021-09-12 04:15:00,77.276
4d,19,2021-09-12 04:30:00,51.5093
4d,20,2021-09-12 04:45:00,41.8333
4d,21,2021-09-12 05:00:00,42.199
4d,22,2021-09-12 05:15:00,0.0
4d,23,2021-09-12 05:30:00,0.0
4d,24,2021-09-12 05:45:00,40.2491
4d,25,2021-09-12 06:00:00,44.5767
4d,26,2021-09-12 06:15:00,42.3567
4d,27,2021-09-12 06:30:00,54.2413
4d,28,2021-09-12 06:45:00,88.563
4d,29,2021-09-12 07:00:00,93.7527
4d,30,2021-09-12 07:15:00,74.4447
4d,31,2021-09-12 07:30:00,73.092
4d,32,2021-09-12 07:45:00,0.0
4d,33,2021-09-12 08:00:00,0.0
4d,34,2021-09-12 08:15:00,0.0
4d,35,2021-09-12 08:30:00,0.0
4d,36,2021-09-12 08:45:00,0.0
4d,37,2021-09-12 09:00:00,0.0
4d,38,2021-09-12 09:15:00,0.0
4d,39,2021-09-12 09:30:00,0.0
4d,40,2021-09-12 09:45:00,40.2964
4d,41,2021-09-12 10:00:00,40.3993
4d,42,2021-09-12 10:15:00,72.5517
4d,43,2021-09-12 10:30:00,22.2013
4d,44,2021-09-12 10:45:00,41.4233
4d,45,2021-09-12 11:00:00,31.3947
4d,46,2021-09-12 11:15:00,31.6027
4d,47,2021-09-12 11:30:00,28.0793
4d,48,2021-09-12 11:45:00,22.645
4d,49,2021-09-12 12:00:00,19.8914
4d,50,2021-09-12 12:15:00,19.9233
4d,51,2021-09-12 12:30:00,9.5786
4d,52,2021-09-12 12:45:00,0.0
4d,53,2021-09-12 13:00:00,0.0
4d,54,2021-09-12 13:15:00,0.0
4d,55,2021-09-12 13:30:00,0.0
4d,56,2021-09-12 13:45:00,0.0
4d,57,2021-09-12 14:00:00,0.0
4d,58,2021-09-12 14:15:00,0.0
4d,59,2021-09-12 14:30:00,0.0
4d,60,2021-09-12 14:45:00,51.4746
4d,61,2021-09-12 15:00:00,54.7073
4d,62,2021-09-12 15:15:00,38.108
4d,63,2021-09-12 15:30:00,26.2914
4d,64,2021-09-12 15:45:00,0.0
4d,65,2021-09-12 16:00:00,0.0
4d,66,2021-09-12 16:15:00,0.0
4d,67,2021-09-12 16:30:00,0.0
4d,68,2021-09-12 16:45:00,0.0
4d,69,2021-09-12 17:00:00,40.365
